what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780283623958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780283624989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780283625339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780283639275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780283639319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780283643758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780283647123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780283654933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780283654970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780283656161
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780283664649
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1780283665136
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1780283667985
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780283671322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780283675579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780283676180
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780283676655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1780283677656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1780283677991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1780283685023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1780283685575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1780283686099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1780283686672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1780283686703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1780283686735
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1780283686782
